,,,,,,,,,,
,,,,,,,,,,
,,,Databases for 1:1 Mentorship Program,,,,,,,
,,,,,,,,,,
,,,Provider,Category,Description,Affiliation,Access Requirements,Handling,Use Cases,LINK
,,,UCI Machine Learning Repository,General,665 datasets across breadth of tasks and subject areas.,"University of California, Irvine","Open access, no login required.","Formats .csv, .arff, and more. Typically well-documented; metadata provided; difficulty varies from beginner to advanced.","Classification, regression, and clustering. Used in academic research, teaching, and to empircally test models.",https://archive.ics.uci.edu/datasets
,,,Kaggle,General,">50,000 public datasets and 400,000 public notebooks across breadth of tasks and subject areas..","Kaggle, Inc.","Open access, no login required.",Variable difficulty; most datasets are well-documented and include community-shared notebooks	,"Classification, regression, clustering, NLP, EDA, image processing, and more	",https://www.kaggle.com/datasets
,,,Amazon Datasets,General,"539 datasets including public health, financial data, and more.	",Amazon Web Services (AWS)	,AWS account required for full access.	,Moderate to high - handling large datasets and integrating with AWS services.	,"Big data analysis, public health research.	",https://registry.opendata.aws/
,,,Google Dataset Search,General,">31 million datasets from >4,600 internet sources. Covers wide range of topics.",Google,"Open access, most datasets can be accessed without needing an account.",Variable quality; difficulty varies from beginner to advanced.,"General research, data discovery",https://datasetsearch.research.google.com/
,,,Harvard Dataverse,General,">178,500 datasets available containing >3 million files. Covers wide range of topics.",Harvard University,"Open access, no login required.",Variable quality; difficulty varies from beginner to advanced.,"General research, data discovery",https://dataverse.harvard.edu/
,,,Hugging Face,General,"~160,000 datasets for ML tasks, including text, images, audio, and tabular data	",Hugging Face,"Open access, may require an account.",Variable quality; difficulty varies from beginner to intermediate.,"Text classification, image recognition, speech analysis, tabular data processing, reinforcement learning	",https://huggingface.co/datasets
,,,Papers with Code,General,"Platform hosting ~10,000 datasets and >130,000 papers with code, across ML tasks",Various academic and research institutions	,"Open access, may require an account.",Variable quality; difficulty varies from beginner to intermediate.,"Research, benchmark comparisons, model development	",https://paperswithcode.com/datasets
,,,Recommender Systems and Personalization Datasets,General,A collection of datasets that have been collected for research in recommendation systems,UCSD,Open access,json format,"Price prediciton, clustering, sentiment analysis",https://cseweb.ucsd.edu/~jmcauley/datasets.html
,,,NES Music Database,General,The Nintendo Entertainment System Music Database (NES-MDB) is a dataset intended for building automatic music composition systems for the NES audio synthesizer ,Chris Donahue,"Open access, no login required.","Various formats including audio (wav), MIDI, and metadata (csv)","Music generation, music analysis, machine learning for music.",https://github.com/chrisdonahue/nesmdb
,,,NASA Prognotics Center of Excellence Data Set Repository,General,"The Prognostics Data Repository is a collection of data sets that have been donated by universities, agencies, or companies. The data repository focuses exclusively on prognostic data sets, i.e., data sets that can be used for the development of prognostic algorithms. Most of these are time-series data from a prior nominal state to a failed state. The collection of data in this repository is an ongoing process.",NASA,Open Access,Downloads in .zip files,"Predictive Analytics, Various",https://data.phmsociety.org/nasa/
,,,Data Is Plural,General,"Data Is Plural is a newsletter that curates and shares interesting, useful, and diverse datasets from various domains. The datasets cover a wide range of topics, including politics, environment, sports, culture, and more, providing valuable resources for data analysis and research.",Jeremy Singer-Vine,Public access; no login required,Data is presented in various formats and may require preprocessing to extract relevant information.,Various,https://www.data-is-plural.com/
,,,FiveThirtyEight,General, A collection of datasets used in FiveThirtyEight's data journalism projects. Topics range from politics and sports to economics and culture.,FiveThirtyEight,"Open access, no login required.",Structured data available in CSV and JSON formats. Well-documented with context and usage examples provided.,", journalism, data visualization, and machine learning projects.",https://github.com/fivethirtyeight/data/tree/master
,,,Reaxys,Chemistry,"""Reaxys combines over a billion chemistry data points with AI to support innovation in drug discovery, chemical R&D and academia.""",Elsevier,University access required,,"Drug discovery, organic and inorganicn chemistry reaction prediction",https://www.reaxys.com/
,,,PubChem,Chemistry,"Free chemical database with information on the biological activities of small molecules, including compound structures, properties, biological activities, safety and toxicity information, patents, and literature citations.	","National Center for Biotechnology Information (NCBI), National Institutes of Health (NIH)	","Open access, no login required.","Structured data, available for download in various formats (CSV, SDF, etc.); RESTful API for programmatic access.	","Drug discovery, chemical research, toxicology, patent research.",https://pubchem.ncbi.nlm.nih.gov/
,,,ChemSpider,Chemistry,"Free chemical structure database providing fast access to over 100 million structures, properties, and associated information.",Royal Society of Chemistry	,"Open access, no login required.	","Structured data, available for download in various formats (CSV, SDF, etc.); API for programmatic access.","Chemical research, drug discovery, compound identification.	",https://www.chemspider.com/
,,,UCI Chemical Database,Chemistry,"A collection of datasets focused on chemical and physical properties of compounds, provided by UCI.","University of California, Irvine","Open access, no login required.","Structured data, available for download in various formats (CSV, etc.); typically well-documented.","Chemical research, machine learning applications, property prediction.	",https://cdb.ics.uci.edu/
,,,eChemPortal,Chemistry,"eChemPortal provides free public access to information on the properties and effects of chemicals. It links directly to collections of chemical hazard and risk information prepared for government chemical review programs around the world. It covers data on physical-chemical properties, environmental fate and behavior, ecotoxicity, and toxicity.",Organisation for Economic Co-operation and Development (OECD),Open access; free for public us,"Data can be accessed and downloaded directly from the eChemPortal website. Uses queries, but fairly straightforward.",Research on chemical properties and toxicology Environmental impact studies,https://www.echemportal.org/echemportal/
,,,World Bank Data Catalog,Economics,"6,988 Datasets focused on macroeconomics, international development, and wealth.",World Bank,"Open access, no login required.","Structured data, CSV, Excel	","Economic analysis, global development	",https://datacatalog.worldbank.org/home
,,,GBIF,Environment,Access to biodiversity data,Global organization,"Open access, no login required.","Structured data avaiable in CSV, JSON","Biodiversity Research, species distribution modeling",https://www.gbif.org/
,,,NASA Exoplanets Archive,Environment,"A comprehensive collection of exoplanet data, including information on confirmed exoplanets and their host stars.",Caltech,Open access,Very comprehensive. Various formats for downlaoding data,Predicting Exoplanets ,https://exoplanetarchive.ipac.caltech.edu/index.html
